Concurrent Viewers,Likes,Dislikes,Total Viewers,Subscriptions Driven,Shares,Timestamp,Quality,,,,Device,,,,,Anticpation/Popularity,Category,,,Region,,,,SourceRegion
a,a,a,a,a,a,a,240p,360,720,1080p,Laptops/Desktop,Android,iPhone,Xbox,Playstation,,News,Sports,Entertainment,Tokyo,Australia,London,America,g
3836,519,65,10/6/2014 14:18,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3846,519,65,10/6/2014 14:19,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3870,519,65,10/6/2014 14:19,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3855,519,65,10/6/2014 14:20,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3871,519,65,10/6/2014 14:20,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3879,519,65,10/6/2014 14:21,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3885,519,65,10/6/2014 14:21,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3874,519,65,10/6/2014 14:22,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3874,519,65,10/6/2014 14:22,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3875,519,65,10/6/2014 14:23,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3861,519,65,10/6/2014 14:23,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3850,519,65,10/6/2014 14:24,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3840,519,65,10/6/2014 14:25,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3841,519,65,10/6/2014 14:25,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3842,519,65,10/6/2014 14:26,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3839,519,65,10/6/2014 14:26,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3827,519,65,10/6/2014 14:27,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3828,519,65,10/6/2014 14:27,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3810,519,65,10/6/2014 14:28,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3798,519,65,10/6/2014 14:28,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3797,519,65,10/6/2014 14:29,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3805,519,65,10/6/2014 14:29,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3803,520,65,10/6/2014 14:30,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3806,520,65,10/6/2014 14:30,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3795,520,65,10/6/2014 14:31,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3782,520,65,10/6/2014 14:31,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3776,520,65,10/6/2014 14:32,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3750,520,65,10/6/2014 14:32,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3762,520,65,10/6/2014 14:33,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3761,520,65,10/6/2014 14:33,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3759,521,65,10/6/2014 14:34,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3746,521,66,10/6/2014 14:34,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3745,521,66,10/6/2014 14:35,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3748,521,66,10/6/2014 14:35,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3738,521,66,10/6/2014 14:36,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3741,521,66,10/6/2014 14:36,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3729,521,66,10/6/2014 14:37,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3747,521,66,10/6/2014 14:37,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3737,521,66,10/6/2014 14:38,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3733,521,66,10/6/2014 14:38,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3727,521,66,10/6/2014 14:39,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3742,521,66,10/6/2014 14:39,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3728,521,66,10/6/2014 14:40,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3739,521,66,10/6/2014 14:40,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3718,521,66,10/6/2014 14:41,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3732,521,66,10/6/2014 14:41,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3727,521,66,10/6/2014 14:42,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3719,521,66,10/6/2014 14:42,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3730,521,66,10/6/2014 14:43,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3725,521,66,10/6/2014 14:43,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3726,522,66,10/6/2014 14:44,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3726,522,66,10/6/2014 14:44,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3717,522,66,10/6/2014 14:45,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3729,522,66,10/6/2014 14:45,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3718,522,66,10/6/2014 14:46,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3708,522,66,10/6/2014 14:46,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3712,522,66,10/6/2014 14:47,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3708,522,66,10/6/2014 14:47,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3722,522,67,10/6/2014 14:48,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3704,522,67,10/6/2014 14:48,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3701,522,67,10/6/2014 14:49,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3699,522,67,10/6/2014 14:49,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3685,522,67,10/6/2014 14:50,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
